overall_rating,divisiveness,multiple_lead_vocalists,front_person_age,artist_is_a_songwriter,artist_is_a_producer,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,falsetto_vocal,handclaps_snaps,saxophone,length_sec,vocal_introduction,fade_out,cover,sample,interpolation,inspired_by_a_different_song,spoken_word,explicit,log_weeks_at_number_one,log_acousticness,Pop,Rock,Funk/Soul,Electronic/Dance,Hip Hop
9.666666666666666,0.6666666666666666,0,22,1,0,Major,131,71,49,87,-6,0,0,1,0,0,0,0,1,0,145,0,0,0,0,0,0,0,0,2.0794415416798357,3.6888794541139363,0,1,0,0,0
9.333333333333334,1.3333333333333333,0,22,1,0,Major,76,92,38,91,-3,0,0,1,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,1.0986122886681096,3.295836866004329,0,1,0,0,0
9,0,0,22,1,0,Major,172,76,43,95,-4,0,0,1,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,1.6094379124341003,2.5649493574615367,0,1,0,0,0
7,1.3333333333333333,0,62,0,0,Major,155,41,58,62,-10,0,0,0,0,0,1,0,0,0,147,0,0,1,0,0,1,0,0,0.6931471805599453,4.442651256490317,0,0,0,0,0
7.666666666666667,1.3333333333333333,0,21,0,0,Major,127,58,69,91,-8,0,0,0,1,0,1,0,1,0,174,0,1,0,0,0,0,0,0,1.0986122886681096,4.04305126783455,0,0,1,0,0
6.666666666666667,1.3333333333333333,1,22,1,0,Major,148,83,52,74,-6,0,1,1,0,0,0,0,0,0,141,0,1,0,0,0,0,0,0,0.6931471805599453,3.6888794541139363,0,1,0,0,0
8.333333333333334,0.6666666666666666,0,19.666666666666668,0,0,Major,125,35,59,79,-10,0,1,0,0,0,1,0,1,0,170,0,1,1,0,0,1,0,0,1.3862943611198906,4.304065093204169,1,0,0,0,0
5.333333333333333,0.6666666666666666,0,19.5,0,0,Major,130,66,51,75,-10,0,0,1,1,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0.6931471805599453,3.1780538303479458,0,1,0,0,0
8,0,0,22.5,1,1,Multiple Keys,144,62,39,51,-8,1,0,1,0,0,0,1,1,0,134,0,1,0,0,0,0,0,0,1.0986122886681096,3.6109179126442243,0,1,0,0,0
8.666666666666666,0.6666666666666666,0,30,1,0,Major,121,53,50,61,-8,1,0,1,0,0,0,1,1,0,174,0,1,0,0,0,0,0,0,1.0986122886681096,4.330733340286331,1,0,0,0,0
10,0,1,22.5,1,0,Major,139,81,59,80,-6,0,0,1,0,0,0,0,0,0,154,0,1,0,0,0,0,0,0,1.0986122886681096,2.70805020110221,0,1,0,0,0
4.666666666666667,2,0,47,0,0,Major,119,41,50,46,-12,0,0,1,1,1,1,0,0,0,165,0,0,1,0,0,1,0,0,0.6931471805599453,4.465908118654584,1,0,0,0,0
8.333333333333334,0.6666666666666666,0,20,0,0,Major,135,48,55,83,-11,0,0,1,1,0,1,0,1,0,153,0,1,0,0,0,0,0,0,1.0986122886681096,4.330733340286331,1,0,0,0,0
