overall_rating,divisiveness,multiple_lead_vocalists,front_person_age,artist_is_a_songwriter,artist_is_a_producer,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,falsetto_vocal,handclaps_snaps,saxophone,length_sec,vocal_introduction,fade_out,cover,sample,interpolation,inspired_by_a_different_song,spoken_word,explicit,log_weeks_at_number_one,log_acousticness,Electronic/Dance,Funk/Soul,Hip Hop,Pop,Rock
6.333333333333333,0.6666666666666666,0,23,0,0,Major,104,66,64,23,-6,0,0,0,0,1,0,1,0,0,261,0,0,0,0,0,0,0,0,1.6094379124341003,2.995732273553991,0,0,0,1,0
6.333333333333333,0.6666666666666666,0,33,1,0,Major,111,70,62,90,-13,0,0,1,0,1,1,0,0,1,239,0,0,0,0,0,0,0,0,0.6931471805599453,1.0986122886681098,0,0,0,1,0
4.333333333333333,2.6666666666666665,0,28,0,0,Major,73,51,55,20,-7,0,0,0,1,1,1,0,0,1,277,0,0,0,0,0,0,0,0,0.6931471805599453,3.044522437723423,0,0,0,1,0
8.666666666666666,0.6666666666666666,0,29,0,0,Major,127,71,69,96,-5,0,1,1,1,1,1,0,0,1,163,0,1,0,0,0,0,0,0,1.0986122886681098,3.044522437723423,0,0,0,1,0
8.333333333333334,1.3333333333333333,1,24,0,0,Major,95,31,37,38,-14,0,0,1,1,1,1,0,0,0,225,0,1,0,0,0,0,0,0,1.0986122886681098,3.970291913552122,0,1,0,0,0
2.6666666666666665,0.6666666666666666,0,24,1,1,Major,123,37,85,91,-14,0,0,1,1,0,1,0,0,0,140,0,0,0,0,0,0,0,0,1.3862943611198906,4.127134385045092,0,0,0,1,0
8,1.3333333333333333,1,19,0,0,Major,129,78,63,74,-10,1,0,1,0,0,1,0,0,1,139,0,1,0,0,0,0,0,0,0.6931471805599453,4.276666119016055,0,0,0,1,0
5,1.3333333333333333,1,36.5,0,0,Multiple Keys,139,43,57,36,-9,0,0,0,1,0,0,0,0,0,233,0,1,0,0,0,0,0,0,1.3862943611198906,4.110873864173311,0,0,0,1,0
6.333333333333333,2,1,26,1,1,Major,118,74,73,96,-8,0,0,0,1,0,0,0,0,0,236,0,1,0,0,0,0,0,0,1.3862943611198906,2.9444389791664403,1,0,0,0,0
4.333333333333333,1.3333333333333333,0,37,1,0,Multiple Keys,145,42,54,26,-7,0,0,1,1,1,0,0,0,0,221,0,1,0,0,0,0,0,0,1.0986122886681098,4.248495242049359,0,0,0,1,0
7,2,0,22,1,1,Minor,115,75,74,94,-7,0,0,0,1,0,1,1,0,0,248,0,0,0,0,1,1,0,0,1.3862943611198906,1.6094379124341003,0,1,0,0,0
5.333333333333333,2,0,24,1,0,Major,70,49,69,71,-14,0,0,0,1,0,0,0,1,0,192,0,1,0,0,0,0,1,0,1.0986122886681098,3.7376696182833684,0,0,0,0,1
5.333333333333333,0.6666666666666666,0,37,0,0,Major,136,61,50,33,-10,0,0,1,1,0,0,0,0,0,257,0,0,0,0,0,0,0,0,1.0986122886681098,3.7612001156935624,0,0,0,0,1
7.333333333333333,0.6666666666666666,1,30.666666666666668,1,1,Minor,145,76,56,60,-7,1,1,0,1,0,0,0,0,0,212,0,1,0,1,0,1,1,1,0.6931471805599453,3.6375861597263857,0,1,0,0,0
4.666666666666667,2,1,31,0,0,Major,131,32,51,57,-12,1,0,1,0,0,0,0,0,0,160,0,1,1,0,0,1,1,0,0.6931471805599453,4.48863636973214,0,0,0,1,0
8.333333333333334,0.6666666666666666,0,19,0,0,Multiple Keys,120,37,58,59,-10,1,0,1,0,1,1,0,0,0,170,0,0,0,0,0,0,0,0,1.3862943611198906,4.02535169073515,0,0,0,0,1
7,1.3333333333333333,0,43,0,0,Major,124,46,51,18,-8,0,0,0,1,1,0,0,0,0,293,0,0,1,0,0,1,0,0,0.6931471805599453,4.02535169073515,0,0,0,1,0
8,0,0,22,1,0,Major,80,61,36,60,-10,1,0,1,0,0,1,0,1,1,161,1,1,0,0,0,0,0,0,1.0986122886681098,3.828641396489095,0,1,0,0,0
8,0,0,22,1,0,Major,80,61,36,60,-10,1,0,1,0,0,1,0,1,1,161,1,1,0,0,0,0,0,0,1.0986122886681098,3.828641396489095,0,0,0,0,1
5,0,0,28,0,0,Major,93,62,53,73,-8,0,0,1,1,0,0,0,0,0,154,0,1,0,0,0,0,0,0,0.6931471805599453,4.23410650459726,0,0,0,1,0
4.666666666666667,0.6666666666666666,0,25,1,1,Major,82,74,63,95,-8,0,0,1,1,1,1,0,0,0,175,0,0,0,0,1,1,0,0,1.0986122886681098,1.9459101490553132,0,0,0,0,1
5,2,0,32,1,1,Major,111,37,75,90,-13,0,0,1,0,0,0,0,1,0,171,0,0,0,0,0,0,0,0,0.6931471805599453,3.7376696182833684,0,0,0,1,0
7,0,1,29,1,1,Multiple Keys,92,51,37,54,-10,0,0,1,1,1,1,1,0,0,295,0,0,0,0,0,0,0,0,0.6931471805599453,4.07753744390572,0,0,0,0,1
5,1.3333333333333333,0,24,1,1,Minor,102,33,69,28,-13,0,0,0,1,0,0,0,1,0,340,0,0,0,0,0,0,0,0,1.0986122886681098,2.833213344056216,0,1,0,0,0
5.666666666666667,0.6666666666666666,0,41,0,0,Major,138,50,46,39,-10,0,0,1,0,1,0,0,0,0,212,0,1,0,0,0,0,0,0,0.6931471805599453,3.2188758248682006,0,0,0,1,0
8.333333333333334,2,1,19.5,0,1,Major,150,43,64,53,-9,0,0,1,1,0,0,0,1,0,254,0,0,0,0,0,0,1,0,2.6390573296152584,2.0794415416798357,0,1,0,0,0
5.666666666666667,0.6666666666666666,0,30,0,0,Major,118,47,59,77,-12,0,0,1,0,0,1,0,0,0,217,0,0,0,0,0,0,0,0,0.6931471805599453,3.58351893845611,0,0,0,0,0
6.666666666666667,2.6666666666666665,0,22,1,0,Minor,93,84,54,88,-8,0,0,1,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,1.3862943611198906,1.6094379124341003,0,0,0,0,1
